id size photo_width photo_height density dmin_factor seed_positions size source seed_photos
1 16 250 187 0.400000 0.500000 1 16 data/poster_55_0.json 1
2 16 250 187 0.400000 0.500000 1 16 data/poster_55_0.json 2
3 16 250 187 0.400000 0.500000 1 16 data/poster_55_0.json 3
4 16 250 187 0.400000 0.500000 1 16 data/poster_55_0.json 4
5 16 250 187 0.400000 0.500000 1 16 data/poster_55_0.json 5
6 16 250 187 0.400000 0.500000 1 16 data/poster_55_0.json 6
7 16 250 187 0.400000 0.500000 1 16 data/poster_55_0.json 7
8 16 250 187 0.400000 0.500000 1 16 data/poster_55_0.json 8
9 16 250 187 0.400000 0.500000 1 16 data/poster_55_0.json 9
10 16 250 187 0.400000 0.500000 1 16 data/poster_55_0.json 10
11 16 250 187 0.400000 0.500000 2 16 data/poster_55_0.json 1
12 16 250 187 0.400000 0.500000 2 16 data/poster_55_0.json 2
13 16 250 187 0.400000 0.500000 2 16 data/poster_55_0.json 3
14 16 250 187 0.400000 0.500000 2 16 data/poster_55_0.json 4
15 16 250 187 0.400000 0.500000 2 16 data/poster_55_0.json 5
16 16 250 187 0.400000 0.500000 2 16 data/poster_55_0.json 6
17 16 250 187 0.400000 0.500000 2 16 data/poster_55_0.json 7
18 16 250 187 0.400000 0.500000 2 16 data/poster_55_0.json 8
19 16 250 187 0.400000 0.500000 2 16 data/poster_55_0.json 9
20 16 250 187 0.400000 0.500000 2 16 data/poster_55_0.json 10
21 16 250 187 0.400000 0.500000 3 16 data/poster_55_0.json 1
22 16 250 187 0.400000 0.500000 3 16 data/poster_55_0.json 2
23 16 250 187 0.400000 0.500000 3 16 data/poster_55_0.json 3
24 16 250 187 0.400000 0.500000 3 16 data/poster_55_0.json 4
25 16 250 187 0.400000 0.500000 3 16 data/poster_55_0.json 5
26 16 250 187 0.400000 0.500000 3 16 data/poster_55_0.json 6
27 16 250 187 0.400000 0.500000 3 16 data/poster_55_0.json 7
28 16 250 187 0.400000 0.500000 3 16 data/poster_55_0.json 8
29 16 250 187 0.400000 0.500000 3 16 data/poster_55_0.json 9
30 16 250 187 0.400000 0.500000 3 16 data/poster_55_0.json 10
31 16 250 187 0.400000 0.500000 4 16 data/poster_55_0.json 1
32 16 250 187 0.400000 0.500000 4 16 data/poster_55_0.json 2
33 16 250 187 0.400000 0.500000 4 16 data/poster_55_0.json 3
34 16 250 187 0.400000 0.500000 4 16 data/poster_55_0.json 4
35 16 250 187 0.400000 0.500000 4 16 data/poster_55_0.json 5
36 16 250 187 0.400000 0.500000 4 16 data/poster_55_0.json 6
37 16 250 187 0.400000 0.500000 4 16 data/poster_55_0.json 7
38 16 250 187 0.400000 0.500000 4 16 data/poster_55_0.json 8
39 16 250 187 0.400000 0.500000 4 16 data/poster_55_0.json 9
40 16 250 187 0.400000 0.500000 4 16 data/poster_55_0.json 10
41 16 250 187 0.400000 0.500000 5 16 data/poster_55_0.json 1
42 16 250 187 0.400000 0.500000 5 16 data/poster_55_0.json 2
43 16 250 187 0.400000 0.500000 5 16 data/poster_55_0.json 3
44 16 250 187 0.400000 0.500000 5 16 data/poster_55_0.json 4
45 16 250 187 0.400000 0.500000 5 16 data/poster_55_0.json 5
46 16 250 187 0.400000 0.500000 5 16 data/poster_55_0.json 6
47 16 250 187 0.400000 0.500000 5 16 data/poster_55_0.json 7
48 16 250 187 0.400000 0.500000 5 16 data/poster_55_0.json 8
49 16 250 187 0.400000 0.500000 5 16 data/poster_55_0.json 9
50 16 250 187 0.400000 0.500000 5 16 data/poster_55_0.json 10
51 16 250 187 0.400000 0.500000 6 16 data/poster_55_0.json 1
